,filename,width,height,class,xmin,ymin,xmax,ymax
0,indiceabajo.1a9c8312-94bb-11ec-8392-76dfbf68ea0d.jpg,640,480,indiceabajo,181,147,299,301
1,indiceabajo.1bd8291c-94bb-11ec-9eb8-76dfbf68ea0d.jpg,640,480,indiceabajo,112,186,225,365
2,indiceabajo.1d1bd6ab-94bb-11ec-b4f1-76dfbf68ea0d.jpg,640,480,indiceabajo,56,211,168,403
3,indiceabajo.1e5e4e08-94bb-11ec-bbc7-76dfbf68ea0d.jpg,640,480,indiceabajo,203,201,323,390
4,indiceabajo.1f9e5a38-94bb-11ec-b9f0-76dfbf68ea0d.jpg,640,480,indiceabajo,184,133,326,314
5,indiceabajo.20d9a4a8-94bb-11ec-b23a-76dfbf68ea0d.jpg,640,480,indiceabajo,54,133,204,323
6,indiceabajo.195fdd2b-94bb-11ec-9920-76dfbf68ea0d.jpg,640,480,indiceabajo,128,186,240,341
7,indiceabajo.ba2bd280-9a65-11ec-a527-76dfbf68ea0d.jpg,640,480,indiceabajo,172,69,306,229
8,indiceabajo.bb686312-9a65-11ec-9428-76dfbf68ea0d.jpg,640,480,indiceabajo,259,53,433,269
9,indiceabajo.bca8b509-9a65-11ec-b801-76dfbf68ea0d.jpg,640,480,indiceabajo,33,25,188,234
10,indiceabajo.bdedef95-9a65-11ec-ac6e-76dfbf68ea0d.jpg,640,480,indiceabajo,85,29,242,241
11,indiceabajo.d4d867c5-a082-11ec-9960-00155ded6f64.jpg,640,480,indiceabajo,136,213,276,372
12,indiceabajo.d8a181b0-a082-11ec-a03b-00155ded6f64.jpg,640,480,indiceabajo,149,243,271,422
13,indiceabajo.d9e58f10-a082-11ec-85a4-00155ded6f64.jpg,640,480,indiceabajo,74,251,168,355
14,indiceabajo.d61e45a0-a082-11ec-af0c-00155ded6f64.jpg,640,480,indiceabajo,214,282,285,353
15,indiceabajo.d254f9f0-a082-11ec-aea6-00155ded6f64.jpg,640,480,indiceabajo,184,181,323,333
16,indiceabajo.d396d191-a082-11ec-aa27-00155ded6f64.jpg,640,480,indiceabajo,148,231,239,325
17,indiceabajo.d7618d73-a082-11ec-9d50-00155ded6f64.jpg,640,480,indiceabajo,216,293,310,366
18,indiceabajo.d1161670-a082-11ec-8fcb-00155ded6f64.jpg,640,480,indiceabajo,188,189,282,307
19,indiceabajo.db2b04b3-a082-11ec-8d18-00155ded6f64.jpg,640,480,indiceabajo,271,219,419,393
20,indiceabajo.dc7134db-a082-11ec-b2b9-00155ded6f64.jpg,640,480,indiceabajo,149,273,229,338
21,indicearriba.0d59e0d0-94bb-11ec-852d-76dfbf68ea0d.jpg,640,480,indicearriba,68,206,211,443
22,indicearriba.0e9b4e05-94bb-11ec-8f69-76dfbf68ea0d.jpg,640,480,indicearriba,204,148,343,377
23,indicearriba.0fd47820-94bb-11ec-9092-76dfbf68ea0d.jpg,640,480,indicearriba,132,214,228,393
24,indicearriba.14cda911-94bb-11ec-b986-76dfbf68ea0d.jpg,640,480,indicearriba,105,238,208,433
25,indicearriba.124c6eef-94bb-11ec-a408-76dfbf68ea0d.jpg,640,480,indicearriba,122,233,208,397
26,indicearriba.1110b3bb-94bb-11ec-8d7f-76dfbf68ea0d.jpg,640,480,indicearriba,308,243,419,409
27,indicearriba.1391eef4-94bb-11ec-93cc-76dfbf68ea0d.jpg,640,480,indicearriba,178,169,272,336
28,indicearriba.b18b6870-9a65-11ec-8e79-76dfbf68ea0d.jpg,640,480,indicearriba,152,119,268,333
29,indicearriba.b30b5a11-9a65-11ec-b86e-76dfbf68ea0d.jpg,640,480,indicearriba,159,121,273,325
30,indicearriba.b595f52f-9a65-11ec-b3c8-76dfbf68ea0d.jpg,640,480,indicearriba,55,37,200,293
31,indicearriba.b4501d07-9a65-11ec-bae2-76dfbf68ea0d.jpg,640,480,indicearriba,180,71,288,272
32,indicearriba.c3b07630-a082-11ec-9fbd-00155ded6f64.jpg,640,480,indicearriba,161,211,238,349
33,indicearriba.c4f4fd9b-a082-11ec-ad14-00155ded6f64.jpg,640,480,indicearriba,276,154,396,355
34,indicearriba.c8c59304-a082-11ec-89ac-00155ded6f64.jpg,640,480,indicearriba,188,230,266,372
35,indicearriba.c63cce0a-a082-11ec-a9bc-00155ded6f64.jpg,640,480,indicearriba,147,215,222,353
36,indicearriba.c249a1a9-a082-11ec-9e77-00155ded6f64.jpg,640,480,indicearriba,212,181,294,328
37,indicearriba.c7816cc0-a082-11ec-98e3-00155ded6f64.jpg,640,480,indicearriba,155,205,240,360
38,indicearriba.c0769140-a082-11ec-a795-00155ded6f64.jpg,640,480,indicearriba,119,161,227,383
39,indicearriba.ca0a3d0c-a082-11ec-b2f7-00155ded6f64.jpg,640,480,indicearriba,232,95,307,209
40,indicearriba.cb55b705-a082-11ec-a0af-00155ded6f64.jpg,640,480,indicearriba,145,197,250,393
41,indicearriba.cca01475-a082-11ec-9d27-00155ded6f64.jpg,640,480,indicearriba,268,216,339,346
42,indicederecha.35c2a00e-94bb-11ec-b231-76dfbf68ea0d.jpg,640,480,indicederecha,128,366,271,473
43,indicederecha.333fddcd-94bb-11ec-8b62-76dfbf68ea0d.jpg,640,480,indicederecha,146,225,288,362
44,indicederecha.398a4169-94bb-11ec-9926-76dfbf68ea0d.jpg,640,480,indicederecha,134,346,268,436
45,indicederecha.3708e546-94bb-11ec-87a0-76dfbf68ea0d.jpg,640,480,indicederecha,103,346,244,465
46,indicederecha.385106e7-94bb-11ec-8b30-76dfbf68ea0d.jpg,640,480,indicederecha,160,341,280,427
47,indicederecha.32028170-94bb-11ec-a638-76dfbf68ea0d.jpg,640,480,indicederecha,127,333,277,451
48,indicederecha.34839339-94bb-11ec-8317-76dfbf68ea0d.jpg,640,480,indicederecha,148,277,301,406
49,indicederecha.c3bd6c65-9a65-11ec-98d1-76dfbf68ea0d.jpg,640,480,indicederecha,145,196,260,337
50,indicederecha.c4fdc65b-9a65-11ec-bd60-76dfbf68ea0d.jpg,640,480,indicederecha,129,245,249,389
51,indicederecha.c2810c1b-9a65-11ec-b8fb-76dfbf68ea0d.jpg,640,480,indicederecha,103,177,243,373
52,indicederecha.c6411de1-9a65-11ec-925b-76dfbf68ea0d.jpg,640,480,indicederecha,88,219,266,433
53,indicederecha.e0f4e701-a082-11ec-8d99-00155ded6f64.jpg,640,480,indicederecha,133,265,234,368
54,indicederecha.e4dce466-a082-11ec-8328-00155ded6f64.jpg,640,480,indicederecha,113,249,236,395
55,indicederecha.e8a84c91-a082-11ec-9062-00155ded6f64.jpg,640,480,indicederecha,131,251,241,365
56,indicederecha.e9f277d2-a082-11ec-8535-00155ded6f64.jpg,640,480,indicederecha,143,296,268,429
57,indicederecha.e61ec5e3-a082-11ec-acad-00155ded6f64.jpg,640,480,indicederecha,144,230,247,334
58,indicederecha.e398cc2c-a082-11ec-9639-00155ded6f64.jpg,640,480,indicederecha,138,253,255,418
59,indicederecha.e767f956-a082-11ec-840d-00155ded6f64.jpg,640,480,indicederecha,150,239,258,397
60,indicederecha.e2526151-a082-11ec-a1fc-00155ded6f64.jpg,640,480,indicederecha,120,265,281,429
61,indicederecha.eb401355-a082-11ec-b7ed-00155ded6f64.jpg,640,480,indicederecha,169,245,286,377
62,indicederecha.ec87a87d-a082-11ec-93be-00155ded6f64.jpg,640,480,indicederecha,136,257,260,403
63,indiceizquierda.2ae4d482-94bb-11ec-bfa5-76dfbf68ea0d.jpg,640,480,indiceizquierda,160,352,408,481
64,indiceizquierda.2c25a8d2-94bb-11ec-8dc0-76dfbf68ea0d.jpg,640,480,indiceizquierda,189,312,416,423
65,indiceizquierda.2d660f81-94bb-11ec-b319-76dfbf68ea0d.jpg,640,480,indiceizquierda,237,333,399,419
66,indiceizquierda.25ee52e1-94bb-11ec-9992-76dfbf68ea0d.jpg,640,480,indiceizquierda,169,261,360,359
67,indiceizquierda.29a7e95f-94bb-11ec-97f4-76dfbf68ea0d.jpg,640,480,indiceizquierda,160,303,325,394
68,indiceizquierda.272b7bb2-94bb-11ec-9a3d-76dfbf68ea0d.jpg,640,480,indiceizquierda,92,268,327,379
69,indiceizquierda.286b7880-94bb-11ec-b81d-76dfbf68ea0d.jpg,640,480,indiceizquierda,217,262,416,361
70,indiceizquierda.cad13400-9a65-11ec-bc80-76dfbf68ea0d.jpg,640,480,indiceizquierda,120,263,352,380
71,indiceizquierda.cc0dedda-9a65-11ec-b622-76dfbf68ea0d.jpg,640,480,indiceizquierda,167,314,383,443
72,indiceizquierda.cd4e6568-9a65-11ec-b9ff-76dfbf68ea0d.jpg,640,480,indiceizquierda,257,225,480,401
73,indiceizquierda.ce8ef71e-9a65-11ec-b2d2-76dfbf68ea0d.jpg,640,480,indiceizquierda,201,199,408,321
74,indiceizquierda.f4cb0457-a082-11ec-8346-00155ded6f64.jpg,640,480,indiceizquierda,209,289,356,399
75,indiceizquierda.f8b87b6d-a082-11ec-bc29-00155ded6f64.jpg,640,480,indiceizquierda,262,273,453,391
76,indiceizquierda.f9fa388e-a082-11ec-8945-00155ded6f64.jpg,640,480,indiceizquierda,191,309,367,421
77,indiceizquierda.f10b74cb-a082-11ec-b420-00155ded6f64.jpg,640,480,indiceizquierda,259,277,407,377
78,indiceizquierda.f60b2fb8-a082-11ec-a19b-00155ded6f64.jpg,640,480,indiceizquierda,211,297,340,385
79,indiceizquierda.f770ca60-a082-11ec-bbf4-00155ded6f64.jpg,640,480,indiceizquierda,197,267,355,377
80,indiceizquierda.f386673e-a082-11ec-b1eb-00155ded6f64.jpg,640,480,indiceizquierda,203,289,332,369
81,indiceizquierda.f2459823-a082-11ec-ba36-00155ded6f64.jpg,640,480,indiceizquierda,203,292,374,410
82,indiceizquierda.fb3fc8a1-a082-11ec-85c9-00155ded6f64.jpg,640,480,indiceizquierda,234,334,336,417
83,indiceizquierda.fc86d066-a082-11ec-ac37-00155ded6f64.jpg,640,480,indiceizquierda,297,338,482,459
84,indiceizquierda.57c515bb-a08c-11ec-97f4-00155ded6f64.jpg,640,480,indiceizquierda,269,289,368,338
85,indiceizquierda.5edcc644-a08c-11ec-a741-00155ded6f64.jpg,640,480,indiceizquierda,291,249,411,311
86,indiceizquierda.5d7042c2-a08c-11ec-a196-00155ded6f64.jpg,640,480,indiceizquierda,368,272,471,327
87,indiceizquierda.5909f488-a08c-11ec-b44f-00155ded6f64.jpg,640,480,indiceizquierda,267,288,374,341
88,indiceizquierda.603766e8-a08c-11ec-b441-00155ded6f64.jpg,640,480,indiceizquierda,272,216,387,272
89,indiceabajo.4b30184b-a08c-11ec-8f94-00155ded6f64.jpg,640,480,indiceabajo,115,99,179,181
90,indiceizquierda.62da1420-a08c-11ec-b17c-00155ded6f64.jpg,640,480,indiceizquierda,299,165,410,217
91,indiceizquierda.617eeeae-a08c-11ec-bdf7-00155ded6f64.jpg,640,480,indiceizquierda,270,185,388,241
92,indiceabajo.4e0a1ece-a08c-11ec-bca1-00155ded6f64.jpg,640,480,indiceabajo,372,219,419,315
93,indiceabajo.4cb33e86-a08c-11ec-b395-00155ded6f64.jpg,640,480,indiceabajo,211,217,246,324
94,indiceabajo.48a7ca6c-a08c-11ec-936c-00155ded6f64.jpg,640,480,indiceabajo,342,71,401,146
95,indiceabajo.509a0b36-a08c-11ec-a5a2-00155ded6f64.jpg,640,480,indiceabajo,201,201,241,310
96,indiceabajo.47620d6f-a08c-11ec-89e3-00155ded6f64.jpg,640,480,indiceabajo,368,217,435,318
97,indiceabajo.46210f55-a08c-11ec-9bce-00155ded6f64.jpg,640,480,indiceabajo,178,225,230,317
98,indicearriba.3b39b4e7-a08c-11ec-8923-00155ded6f64.jpg,640,480,indicearriba,117,138,164,241
